segment_id,lat,lng
arahira_to_takasu,31.377598,130.780771
arahira_to_takasu,31.377442,130.780869
arahira_to_takasu,31.374855,130.781180
arahira_to_takasu,31.374325,130.781074
arahira_to_takasu,31.373078,130.780249
arahira_to_takasu,31.372279,130.780140
arahira_to_takasu,31.371592,130.780339
arahira_to_takasu,31.370286,130.781266
arahira_to_takasu,31.369063,130.781589
arahira_to_takasu,31.368901,130.781679
arahira_to_takasu,31.368572,130.782027
arahira_to_takasu,31.367781,130.783677
arahira_to_takasu,31.367444,130.784021
arahira_to_takasu,31.365915,130.785125
arahira_to_takasu,31.365565,130.785216
arahira_to_takasu,31.363868,130.785040
arahira_to_takasu,31.363524,130.785149
arahira_to_takasu,31.363300,130.785320
arahira_to_takasu,31.363142,130.785573
arahira_to_takasu,31.363104,130.785667
arahira_to_takasu,31.363080,130.785768
arahira_to_takasu,31.363057,130.786708
arahira_to_takasu,31.363006,130.786909
arahira_to_takasu,31.362184,130.788409
arahira_to_takasu,31.360300,130.790360
arahira_to_takasu,31.360056,130.790491
arahira_to_takasu,31.359172,130.790676
arahira_to_takasu,31.359005,130.790753
arahira_to_takasu,31.358933,130.790817
arahira_to_takasu,31.358451,130.791569
arahira_to_takasu,31.358165,130.791820
arahira_to_takasu,31.357117,130.792079
arahira_to_takasu,31.356581,130.792030
arahira_to_takasu,31.355263,130.791733
arahira_to_takasu,31.353413,130.792096
arahira_to_takasu,31.351629,130.793093
arahira_to_takasu,31.351544,130.793275
arahira_to_takasu,31.351520,130.793376
arahira_to_takasu,31.351513,130.794639
arahira_to_takasu,31.351529,130.794742
arahira_to_takasu,31.351617,130.794924
arahira_to_takasu,31.351942,130.795287
arahira_to_takasu,31.352042,130.795460
arahira_to_takasu,31.352070,130.795560
arahira_to_takasu,31.352080,130.795663
arahira_to_takasu,31.352040,130.795865
arahira_to_takasu,31.351991,130.795948
arahira_to_takasu,31.351787,130.796153
arahira_to_takasu,31.349269,130.795443
furue_to_arahira,31.404679,130.768852
furue_to_arahira,31.404316,130.769158
furue_to_arahira,31.403808,130.769367
furue_to_arahira,31.403744,130.769330
furue_to_arahira,31.403696,130.769241
furue_to_arahira,31.403093,130.769090
furue_to_arahira,31.402740,130.769155
furue_to_arahira,31.401831,130.769609
furue_to_arahira,31.401114,130.770243
furue_to_arahira,31.399918,130.770693
furue_to_arahira,31.399742,130.770700
furue_to_arahira,31.399657,130.770671
furue_to_arahira,31.399510,130.770565
furue_to_arahira,31.399453,130.770485
furue_to_arahira,31.399162,130.769494
furue_to_arahira,31.399108,130.769411
furue_to_arahira,31.398961,130.769292
furue_to_arahira,31.398168,130.769120
furue_to_arahira,31.397456,130.769212
furue_to_arahira,31.394239,130.770826
furue_to_arahira,31.390380,130.772508
furue_to_arahira,31.389887,130.772963
furue_to_arahira,31.388565,130.775574
furue_to_arahira,31.387955,130.776181
furue_to_arahira,31.387025,130.776554
furue_to_arahira,31.381743,130.777074
furue_to_arahira,31.381344,130.777306
furue_to_arahira,31.380699,130.777873
furue_to_arahira,31.379849,130.778211
furue_to_arahira,31.378164,130.779931
furue_to_arahira,31.377611,130.780759
furue_to_arahira,31.377598,130.780771
myoshu_to_ronjibashi,31.344240,130.898546
myoshu_to_ronjibashi,31.343902,130.916561
myoshu_to_aira,31.344184,130.898526
myoshu_to_aira,31.344047,130.898671
myoshu_to_aira,31.343882,130.898751
myoshu_to_aira,31.343705,130.898780
myoshu_to_aira,31.343444,130.898707
myoshu_to_aira,31.342762,130.898202
myoshu_to_aira,31.341885,130.897982
myoshu_to_aira,31.341815,130.897925
myoshu_to_aira,31.341201,130.897020
myoshu_to_aira,31.341134,130.896951
